,Year,Total Crabs,Male,Female,Female w Eggs,Recruits
0,2002,31.15,11.399999999999999,6.3500000000000005,10.899999999999999,2.55
1,2003,351.29999999999995,28.549999999999997,6.199999999999999,9.924999999999999,306.675
2,2004,86.23333333333333,35.63333333333333,5.133333333333333,34.1,11.333333333333334
3,2005,39.975,3.325,4.5249999999999995,6.7,25.4
4,2006,31.46666666666667,8.4,1.9666666666666668,9.033333333333333,12.100000000000001
5,2007,26.666666666666668,8.033333333333333,4.4,8.466666666666667,5.733333333333334
6,2008,17.700000000000003,4.375,4.075,7.625,1.6
7,2009,32.425,4.45,1.675,4.6499999999999995,21.599999999999998
8,2010,288.85,3.425,5.725,0.65,279.05
9,2011,58.24999999999999,14.874999999999998,7.425,10.675,25.3
10,2012,43.9,6.125,3.375,13.375,21.025000000000002
11,2013,130.875,8.9,3.225,8.100000000000001,110.62499999999999
12,2014,122.22500000000001,11.15,1.4500000000000002,5.324999999999999,104.325
13,2015,74.15,16.2,11.9,8.299999999999999,37.75
14,2016,120.29999999999998,11.774999999999999,6.0,2.3000000000000003,100.17500000000001
