Datetime,Abundance (psm),Year
2001-12-31,824.1072727272726,2001
2002-12-31,2230.359032258065,2002
2003-12-31,4428.390526315789,2003
2004-12-31,1375.5459999999996,2004
2005-12-31,990.799175257732,2005
2006-12-31,302.85199999999986,2006
2007-12-31,273.982596153846,2007
2008-12-31,376.5033333333332,2008
2009-12-31,376.8432710280376,2009
2010-12-31,3390.017403846155,2010
2011-12-31,971.0576233183859,2011
2012-12-31,736.8730051813476,2012
2013-12-31,1786.5571074380184,2013
2014-12-31,2525.67012605042,2014
2015-12-31,2050.0515679442515,2015
2016-12-31,2490.8348148148157,2016
2017-12-31,700.6070909090911,2017
